cache_size,assoc,num_runs,avg_success_rate
128B,1,10,1.0000
128B,2,10,1.0000
256B,1,10,1.0000
256B,2,10,1.0000
256B,4,10,1.0000
512B,1,10,1.0000
512B,2,10,1.0000
512B,4,10,1.0000
512B,8,10,1.0000
1KiB,1,10,1.0000
1KiB,2,10,1.0000
1KiB,4,10,1.0000
1KiB,8,10,1.0000
2KiB,1,10,1.0000
2KiB,2,10,0.9540
2KiB,4,10,0.9360
2KiB,8,10,1.0000
4KiB,1,10,1.0000
4KiB,2,10,0.7980
4KiB,4,10,0.6340
4KiB,8,10,0.5120
8KiB,1,10,0.9640
8KiB,2,10,0.5560
8KiB,4,10,0.2440
8KiB,8,10,0.0340
16KiB,1,10,0.9900
16KiB,2,10,0.3080
16KiB,4,10,0.0580
16KiB,8,10,0.0160
32KiB,1,10,0.9720
32KiB,2,10,0.1620
32KiB,4,10,0.0160
32KiB,8,10,0.0000
64KiB,1,10,0.9820
64KiB,2,10,0.0720
64KiB,4,10,0.0080
64KiB,8,10,0.0000
128KiB,1,10,0.9680
128KiB,2,10,0.0360
128KiB,4,10,0.0000
128KiB,8,10,0.0000
